"","4349788","4370747","4456889","4128270"
"304",0,0,1524,0
"305",0,0,0,1524
"306",0,0,1524,0
"307",0,0,1524,0
"308",0,0,1524,0
"309",1524,0,0,0
"310",0,0,0,1524
"311",0,0,1524,0
"312",0,0,1524,0
"313",0,0,1524,0
"314",1524,0,0,0
"315",0,0,0,1524
"316",0,0,1524,0
"317",0,0,1524,0
"318",0,0,1524,0
"319",0,0,1524,0
"320",1524,0,0,0
"321",1524,0,0,0
"322",0,0,0,1524
"323",0,0,1524,0
"324",0,0,0,1524
"325",1524,0,0,0
"326",0,0,0,1524
"327",0,0,1524,0
"328",0,0,1524,0
"329",0,0,0,1524
"330",1524,0,0,0
"331",0,0,1524,0
"332",0,0,0,1524
"333",1524,0,0,0
"334",1524,0,0,0
"335",0,0,0,1524
"336",0,0,0,1524
"337",1524,0,0,0
"338",0,0,1524,0
"339",0,0,0,1524
"340",0,0,1524,0
"341",1524,0,0,0
"342",1524,0,0,0
"343",0,0,0,1524
"344",1524,0,0,0
"345",0,0,1524,0
"346",1524,0,0,0
"347",0,0,0,1524
"348",0,0,0,1524
"349",1524,0,0,0
"350",0,0,0,1524
"351",0,0,0,1524
"352",0,0,0,1524
"353",0,0,1524,0
"354",0,0,0,1524
"355",0,0,0,1524
"356",0,0,0,1524
"357",0,0,1524,0
"358",1524,0,0,0
"359",0,0,0,1524
"360",0,0,1524,0
"361",1524,0,0,0
"362",1524,0,0,0
"363",0,0,1524,0
"364",0,0,1524,0
"365",0,0,0,1524
"366",1524,0,0,0
"367",0,0,1524,0
"368",0,0,0,1524
"369",0,0,1524,0
"370",0,0,0,1524
"371",0,0,1524,0
"372",0,0,0,1524
"373",0,0,0,1524
"374",0,0,1524,0
"375",0,0,1524,0
"376",1524,0,0,0
"377",0,0,0,1524
"378",0,0,0,1524
"379",1524,0,0,0
"380",0,0,0,1524
"381",1524,0,0,0
"382",1524,0,0,0
"383",0,0,1524,0
"384",1524,0,0,0
"385",0,0,1524,0
"386",0,0,1524,0
"387",1524,0,0,0
"388",0,0,1524,0
"389",1524,0,0,0
"390",0,0,1524,0
"391",1524,0,0,0
"392",1524,0,0,0
"393",0,0,0,1524
"394",0,0,0,1524
"395",0,0,1524,0
"396",0,0,1524,0
"397",0,0,0,1524
"398",0,0,1524,0
"399",0,0,0,1524
"400",0,0,0,1524
"401",0,0,1523,0
"402",1523,0,0,0
"403",0,1523,0,0
"404",0,1523,0,0
"405",0,0,1523,0
"406",0,0,1523,0
"407",0,0,1523,0
"408",1523,0,0,0
"409",0,0,1523,0
"410",0,0,1523,0
"411",0,0,1523,0
"412",0,0,1523,0
"413",0,1523,0,0
"414",0,1523,0,0
"415",1523,0,0,0
"416",0,1523,0,0
"417",1523,0,0,0
"418",0,1523,0,0
"419",0,0,1523,0
"420",0,1523,0,0
"421",1523,0,0,0
"422",1523,0,0,0
"423",0,1523,0,0
"424",0,0,1523,0
"425",1523,0,0,0
"426",0,0,1523,0
"427",0,0,1523,0
"428",0,1523,0,0
"429",0,1523,0,0
"430",0,1523,0,0
"431",0,0,1523,0
"432",0,1523,0,0
"433",0,0,1523,0
"434",0,0,1523,0
"435",0,0,1523,0
"436",0,1523,0,0
"437",0,0,1523,0
"438",0,1523,0,0
"439",0,1523,0,0
"440",0,1523,0,0
"441",1523,0,0,0
"442",0,0,1523,0
"443",0,1523,0,0
"444",0,0,1523,0
"445",0,1523,0,0
"446",0,0,1523,0
"447",1523,0,0,0
"448",0,0,1523,0
"449",0,0,1523,0
"450",0,0,1523,0
"451",0,0,0,1523
"452",0,0,1523,0
"453",0,1523,0,0
"454",1523,0,0,0
"455",0,0,1523,0
"456",1523,0,0,0
"457",0,1523,0,0
"458",1523,0,0,0
"459",0,0,1523,0
"460",0,1523,0,0
"461",0,0,1523,0
"462",1523,0,0,0
"463",0,1523,0,0
"464",0,1523,0,0
"465",0,0,1523,0
"466",0,1523,0,0
"467",0,1523,0,0
"468",0,0,1523,0
"469",0,0,1523,0
"470",0,0,1523,0
"471",0,1523,0,0
"472",0,1523,0,0
"473",1523,0,0,0
"474",0,1523,0,0
"475",1523,0,0,0
"476",0,0,1523,0
"477",0,0,1523,0
"478",0,0,0,1523
"479",0,0,1523,0
"480",1523,0,0,0
"481",1523,0,0,0
"482",0,1523,0,0
"483",0,0,1523,0
"484",0,0,1523,0
"485",0,1523,0,0
"486",0,1523,0,0
"487",1523,0,0,0
"488",0,0,1523,0
"489",0,1523,0,0
"490",0,1523,0,0
"491",0,1523,0,0
"492",0,0,1523,0
"493",0,0,1523,0
"494",0,0,1523,0
"495",1523,0,0,0
"496",0,0,1523,0
"497",0,1523,0,0
"498",0,1523,0,0
"499",0,0,1523,0
"500",0,1523,0,0
"501",0,1519,0,0
"502",0,0,1519,0
"503",1519,0,0,0
"504",0,0,1519,0
"505",0,0,0,1519
"506",0,1519,0,0
"507",0,0,1519,0
"508",0,0,0,1519
"509",0,0,1519,0
"510",0,0,0,1519
"511",0,0,1519,0
"512",1519,0,0,0
"513",0,0,1519,0
"514",0,0,1519,0
"515",0,0,1519,0
"516",0,0,0,1519
"517",0,0,1519,0
"518",0,0,0,1519
"519",0,0,1519,0
"520",0,0,0,1519
"521",1519,0,0,0
"522",1519,0,0,0
"523",0,0,1519,0
"524",1519,0,0,0
"525",1519,0,0,0
"526",0,1519,0,0
"527",0,0,1519,0
"528",0,0,0,1519
"529",0,1519,0,0
"530",1519,0,0,0
"531",1519,0,0,0
"532",0,1519,0,0
"533",1519,0,0,0
"534",1519,0,0,0
"535",0,0,1519,0
"536",0,1519,0,0
"537",0,0,1519,0
"538",0,1519,0,0
"539",0,1519,0,0
"540",0,0,0,1519
"541",0,1519,0,0
"542",0,0,0,1519
"543",1519,0,0,0
"544",1519,0,0,0
"545",1519,0,0,0
"546",1519,0,0,0
"547",0,1519,0,0
"548",1519,0,0,0
"549",0,1519,0,0
"550",1519,0,0,0
"551",0,0,0,1519
"552",1519,0,0,0
"553",1519,0,0,0
"554",1519,0,0,0
"555",0,0,1519,0
"556",1519,0,0,0
"557",1519,0,0,0
"558",0,1519,0,0
"559",1519,0,0,0
"560",1519,0,0,0
"561",0,1519,0,0
"562",0,1519,0,0
"563",0,1519,0,0
"564",0,0,0,1519
"565",0,0,0,1519
"566",0,1519,0,0
"567",0,0,0,1519
"568",0,0,1519,0
"569",1519,0,0,0
"570",1519,0,0,0
"571",0,1519,0,0
"572",1519,0,0,0
"573",1519,0,0,0
"574",0,0,1519,0
"575",0,0,1519,0
"576",0,1519,0,0
"577",1519,0,0,0
"578",1519,0,0,0
"579",0,1519,0,0
"580",1519,0,0,0
"581",0,1519,0,0
"582",0,1519,0,0
"583",1519,0,0,0
"584",0,1519,0,0
"585",0,1519,0,0
"586",0,1519,0,0
"587",0,0,0,1519
"588",0,0,1519,0
"589",0,0,1519,0
"590",1519,0,0,0
"591",1519,0,0,0
"592",0,0,0,1519
"593",0,1519,0,0
"594",0,1519,0,0
"595",1519,0,0,0
"596",0,0,1519,0
"597",0,1519,0,0
"598",0,0,0,1519
"599",0,0,1519,0
"600",1519,0,0,0
"601",0,0,1518,0
"602",0,1518,0,0
"603",0,1518,0,0
"604",0,0,1518,0
"605",1391,127,0,0
"606",0,1518,0,0
"607",0,1518,0,0
"608",0,1518,0,0
"609",0,1518,0,0
"610",0,0,1518,0
"611",456,1062,0,0
"612",0,1518,0,0
"613",1518,0,0,0
"614",1518,0,0,0
"615",0,1518,0,0
"616",0,1518,0,0
"617",0,1518,0,0
"618",0,1518,0,0
"619",0,415,0,1103
"620",0,1518,0,0
"621",0,1518,0,0
"622",0,0,1518,0
