"","4399988","4454257","691423"
"406",0,5199,0
"407",0,5199,0
"408",0,5199,0
"409",0,5199,0
"410",0,5199,0
"411",0,3912,1287
"412",0,5199,0
"413",0,5199,0
"414",0,5199,0
"415",0,5199,0
"416",0,5199,0
"417",0,5199,0
"418",0,5199,0
"419",0,5199,0
"420",0,5199,0
"421",0,5199,0
"422",0,5199,0
"423",0,5199,0
"424",0,5199,0
"425",0,5199,0
"426",0,5199,0
"427",0,5199,0
"428",0,5199,0
"429",0,5199,0
"430",0,5199,0
"431",0,5199,0
"432",0,5199,0
"433",0,5199,0
"434",0,5199,0
"435",0,5199,0
"436",0,5199,0
"437",0,5199,0
"438",0,5199,0
"439",0,5199,0
"440",0,5199,0
"441",0,5199,0
"442",0,5199,0
"443",0,5199,0
"444",0,5199,0
"445",0,5199,0
"446",0,5199,0
"447",0,5199,0
"448",0,5199,0
"449",0,5199,0
"450",0,5199,0
"451",0,5199,0
"452",0,4170,1029
"453",0,5199,0
"454",0,5199,0
"455",0,5199,0
"456",0,5199,0
"457",0,5199,0
"458",0,5199,0
"459",0,5199,0
"460",0,5199,0
"461",0,5199,0
"462",0,5199,0
"463",0,5199,0
"464",0,5199,0
"465",0,5199,0
"466",0,5199,0
"467",0,5199,0
"468",0,5199,0
"469",0,5199,0
"470",0,5199,0
"471",0,5199,0
"472",0,5199,0
"473",0,5199,0
"474",0,5199,0
"475",0,5199,0
"476",0,1565,3634
"477",0,5199,0
"478",0,5199,0
"479",0,5199,0
"480",0,5199,0
"481",0,4959,240
"482",0,5199,0
"483",0,5199,0
"484",0,5199,0
"485",0,5199,0
"486",0,3499,1700
"487",0,5199,0
"488",0,5199,0
"489",0,5199,0
"490",0,5199,0
"491",0,3857,1342
"492",0,5199,0
"493",0,5199,0
"494",0,5199,0
"495",0,5199,0
"496",0,5199,0
"497",0,5199,0
"498",0,5199,0
"499",0,5199,0
"500",0,5199,0
"501",0,5199,0
"502",0,5199,0
"503",0,5199,0
"504",0,5199,0
"505",0,3006,2193
"506",0,5199,0
"507",0,5199,0
"508",0,4999,200
"509",0,5199,0
"510",0,5199,0
"511",0,5199,0
"512",0,5199,0
"513",0,5199,0
"514",0,5199,0
"515",0,5199,0
