"","4456889","4461938"
"5",0,8834
"6",2050,6784
"7",5458,3376
"8",8655,179
"9",4471,4363
"10",0,8834
"11",5112,3722
"12",510,8324
"13",5337,3497
"14",1826,7008
"15",233,8601
"16",3363,5471
"1",6901,1933
"2",5921,2913
"3",8834,0
"4",5810,3024
"5",7654,1180
"6",4345,4489
"7",86,8748
"8",5072,3762
"9",2777,6057
"10",0,8834
"11",8058,776
"12",1250,7584
"13",641,8193
"14",429,8405
"15",4944,3890
"16",0,8834
"1",8401,433
"2",2748,6086
"3",5124,3710
"4",8834,0
"5",6889,1945
"6",3919,4915
"7",1351,7483
"8",5711,3123
"9",6443,2391
"10",1795,7039
"11",4819,4015
"12",5342,3492
"13",2306,6528
"14",5564,3270
"15",0,8834
"16",3309,5525
"1",5910,2924
"2",1173,7661
"3",804,8030
"4",1213,7621
"5",1701,7133
"6",3809,5025
"7",2410,6424
"8",4558,4276
"9",4442,4392
"10",2625,6209
"11",2313,6521
"12",1996,6838
"13",7490,1344
"14",6917,1917
"15",6416,2418
"16",8833,1
"1",7306,1528
"2",6573,2261
"3",4045,4789
"4",14,8820
"5",4840,3994
"6",8834,0
"7",5249,3585
"8",0,8834
"9",1113,7721
"10",1669,7165
"11",2781,6053
"12",4809,4025
"13",3432,5402
"14",6373,2461
"15",376,8458
"16",3342,5492
"1",730,8104
"2",0,8834
"3",54,8780
"4",2405,6429
"5",0,8834
"6",2003,6831
"7",1881,6953
"8",1668,7166
"9",2611,6223
"10",2872,5962
"11",4711,4123
"12",8310,524
"13",1500,7334
"14",8780,54
"15",2622,6212
"16",3159,5675
"1",4270,4564
"2",0,8834
"3",7870,964
"4",8304,530
"5",4644,4190
"6",6138,2696
"7",5727,3107
"8",6613,2221
"9",3180,5654
"10",8068,766
"11",1743,7091
"12",8304,530
"13",2287,6547
"14",7364,1470
"15",2390,6444
"16",1916,6918
"1",0,8834
"2",4474,4360
"3",2934,5900
"4",5086,3748
"5",4618,4216
"6",2208,6626
"7",2702,6132
"8",2024,6810
"9",7166,1668
"10",6231,2603
"11",3555,5279
"12",2687,6147
"13",5152,3682
"14",7285,1549
"15",4526,4308
"16",7198,1636
"1",0,8834
"2",6864,1970
"3",1868,6966
"4",0,8834
"5",1058,7776
"6",7540,1294
"7",4582,4252
"8",1902,6932
"9",5684,3150
"10",7748,1086
"11",4483,4351
"12",8239,595
"13",802,8032
"14",4079,4755
"15",3575,5259
"16",2711,6123
