SA,SRR,TIME,ORIG,REP
sa44,SRR7134166_1.fastq.gz,final,X4,6.0
sa45,SRR7134167_1.fastq.gz,final,X1,6.0
sa46,SRR7134168_1.fastq.gz,final,X2,6.0
sa47,SRR7134169_1.fastq.gz,final,X11,5.0
sa48,SRR7134170_1.fastq.gz,final,X12,5.0
sa49,SRR7134171_1.fastq.gz,final,X9,5.0
sa5,SRR7133839_1.fastq.gz,final,X8,7.0
sa50,SRR7134172_1.fastq.gz,final,X10,5.0
sa51,SRR7134217_1.fastq.gz,final,X9,1.0
sa52,SRR7134218_1.fastq.gz,final,X10,1.0
sa53,SRR7134219_1.fastq.gz,final,X7,1.0
sa54,SRR7134220_1.fastq.gz,final,X8,1.0
sa55,SRR7134221_1.fastq.gz,final,X1,2.0
sa56,SRR7134222_1.fastq.gz,final,X2,2.0
sa57,SRR7134223_1.fastq.gz,final,X11,1.0
sa58,SRR7134224_1.fastq.gz,final,X12,1.0
sa59,SRR7134225_1.fastq.gz,final,X3,2.0
sa6,SRR7133840_1.fastq.gz,final,X1,8.0
sa60,SRR7134226_1.fastq.gz,final,X4,2.0
sa61,SRR7134228_1.fastq.gz,final,X7,2.0
sa62,SRR7134229_1.fastq.gz,final,X8,2.0
sa63,SRR7134230_1.fastq.gz,final,X5,2.0
sa64,SRR7134231_1.fastq.gz,final,X6,2.0
sa65,SRR7134232_1.fastq.gz,final,X11,2.0
sa66,SRR7134233_1.fastq.gz,final,X12,2.0
sa67,SRR7134234_1.fastq.gz,final,X9,2.0
sa68,SRR7134235_1.fastq.gz,final,X10,2.0
sa69,SRR7134236_1.fastq.gz,final,X1,3.0
sa7,SRR7133841_1.fastq.gz,final,X2,8.0
sa70,SRR7134237_1.fastq.gz,final,X2,3.0
sa71,SRR7134316_1.fastq.gz,final,X4,7.0
sa72,SRR7134317_1.fastq.gz,final,X3,7.0
sa73,SRR7134320_1.fastq.gz,final,X12,6.0
sa74,SRR7134321_1.fastq.gz,final,X11,6.0
sa75,SRR7134322_1.fastq.gz,final,X2,7.0
sa76,SRR7134323_1.fastq.gz,final,X1,7.0
sa77,SRR7134324_1.fastq.gz,final,X8,6.0
sa78,SRR7134325_1.fastq.gz,final,X7,6.0
sa79,SRR7134326_1.fastq.gz,final,X10,6.0
sa8,SRR7133904_1.fastq.gz,final,X9,4.0
sa80,SRR7134327_1.fastq.gz,final,X9,6.0
sa81,SRR7134351_1.fastq.gz,original,X6,0
sa82,SRR7134353_1.fastq.gz,original,X12,0
sa83,SRR7134368_1.fastq.gz,final,X2,1.0
sa84,SRR7134369_1.fastq.gz,final,X1,1.0
sa85,SRR7134370_1.fastq.gz,final,X4,1.0
sa86,SRR7134371_1.fastq.gz,final,X3,1.0
sa87,SRR7134372_1.fastq.gz,final,X6,1.0
sa88,SRR7134373_1.fastq.gz,final,X5,1.0
sa89,SRR7134374_1.fastq.gz,final,X4,3.0
sa9,SRR7133905_1.fastq.gz,final,X10,4.0
sa90,SRR7134375_1.fastq.gz,final,X3,3.0
sa91,SRR7134376_1.fastq.gz,final,X6,3.0
sa92,SRR7134377_1.fastq.gz,final,X5,3.0
sa93,SRR7134378_1.fastq.gz,final,X8,3.0
sa94,SRR7134379_1.fastq.gz,final,X7,3.0
sa95,SRR7134380_1.fastq.gz,final,X10,3.0
sa96,SRR7134381_1.fastq.gz,final,X9,3.0
sa97,SRR7134382_1.fastq.gz,final,X12,3.0
sa98,SRR7134383_1.fastq.gz,final,X11,3.0
sa99,SRR7134398_1.fastq.gz,original,X2,0
